REF_DATE,province,Immigrants,Net emigration,Net non-permanent residents
1967,Newfoundland and Labrador,984.0,,
1967,Northwest Territories including Nunavut,109.0,,
1967,Nova Scotia,2406.0,,
1967,Ontario,116850.0,,
1967,Prince Edward Island,147.0,,
1967,Quebec,45717.0,,
1967,Saskatchewan,3754.0,,
1967,Yukon,55.0,,
1968,Alberta,13203.0,,
1968,British Columbia,22496.0,,
1968,Manitoba,8723.0,,
1968,New Brunswick,1025.0,,
1968,Newfoundland and Labrador,1006.0,,
1968,Northwest Territories including Nunavut,130.0,,
1968,Nova Scotia,1957.0,,
1968,Ontario,96155.0,,
1968,Prince Edward Island,176.0,,
1968,Quebec,35481.0,,
1968,Saskatchewan,3557.0,,
1968,Yukon,65.0,,
1969,Alberta,11274.0,,
1969,British Columbia,21953.0,,
1969,Manitoba,6380.0,,
1969,New Brunswick,1239.0,,
1969,Newfoundland and Labrador,832.0,,
1969,Northwest Territories including Nunavut,129.0,,
1969,Nova Scotia,2167.0,,
1969,Ontario,86588.0,,
1969,Prince Edward Island,182.0,,
1969,Quebec,28230.0,,
1969,Saskatchewan,2492.0,,
1969,Yukon,65.0,,
1970,Alberta,10405.0,,
1970,British Columbia,21683.0,,
1970,Manitoba,5826.0,,
1970,New Brunswick,1070.0,,
1970,Newfoundland and Labrador,630.0,,
1970,Northwest Territories including Nunavut,128.0,,
1970,Nova Scotia,2007.0,,
1970,Ontario,80732.0,,
1970,Prince Edward Island,185.0,,
1970,Quebec,23261.0,,
1970,Saskatchewan,1709.0,,
1970,Yukon,77.0,,
1971,Alberta,8653.0,1822.0,-255.0
1971,British Columbia,18917.0,1964.0,229.0
1971,Manitoba,5301.0,532.0,-102.0
1971,New Brunswick,1038.0,240.0,55.0
1971,Newfoundland and Labrador,819.0,97.0,-29.0
1971,Northwest Territories including Nunavut,124.0,6.0,-19.0
1971,Nova Scotia,1812.0,134.0,56.0
1971,Ontario,64357.0,7093.0,-923.0
1971,Prince Edward Island,172.0,24.0,-5.0
1971,Quebec,19222.0,2463.0,423.0
1971,Saskatchewan,1426.0,254.0,-131.0
1971,Yukon,59.0,22.0,-37.0
1972,Alberta,8390.0,3272.0,255.0
1972,British Columbia,20107.0,3542.0,293.0
1972,Manitoba,5262.0,945.0,79.0
1972,New Brunswick,1301.0,431.0,46.0
1972,Newfoundland and Labrador,686.0,172.0,32.0
1972,Northwest Territories including Nunavut,189.0,12.0,-1.0
1972,Nova Scotia,1872.0,238.0,37.0
1972,Ontario,63805.0,12653.0,1469.0
1972,Prince Edward Island,175.0,40.0,3.0
1972,Quebec,18592.0,4384.0,713.0
1972,Saskatchewan,1511.0,447.0,46.0
1972,Yukon,116.0,39.0,3.0
1973,Alberta,11904.0,5093.0,656.0
1973,British Columbia,27949.0,5510.0,800.0
1973,Manitoba,6621.0,1481.0,229.0
1973,New Brunswick,1729.0,676.0,100.0
1973,Newfoundland and Labrador,984.0,271.0,71.0
1973,Northwest Territories including Nunavut,178.0,20.0,1.0
1973,Nova Scotia,2548.0,373.0,135.0
1973,Ontario,103187.0,19597.0,4096.0
1973,Prince Edward Island,273.0,67.0,4.0
1973,Quebec,26871.0,6856.0,1708.0
1973,Saskatchewan,1866.0,708.0,124.0
1973,Yukon,90.0,62.0,4.0
1974,Alberta,14289.0,5271.0,-143.0
1974,British Columbia,34481.0,5749.0,-219.0
1974,Manitoba,7423.0,1530.0,-74.0
1974,New Brunswick,2207.0,697.0,-6.0
1974,Newfoundland and Labrador,1036.0,275.0,-4.0
1974,Northwest Territories including Nunavut,200.0,23.0,-4.0
1974,Nova Scotia,2601.0,386.0,-64.0
1974,Ontario,120115.0,20198.0,-1179.0
1974,Prince Edward Island,311.0,67.0,1.0
1974,Quebec,33458.0,7039.0,-255.0
1974,Saskatchewan,2244.0,727.0,-30.0
1974,Yukon,100.0,58.0,0.0
1975,Alberta,16277.0,4397.0,660.0
1975,British Columbia,29272.0,4726.0,796.0
1975,Manitoba,7134.0,1231.0,225.0
1975,New Brunswick,2093.0,572.0,104.0
1975,Newfoundland and Labrador,1106.0,225.0,74.0
1975,Northwest Territories including Nunavut,193.0,18.0,0.0
1975,Nova Scotia,2124.0,311.0,129.0
1975,Ontario,98471.0,16422.0,4068.0
1975,Prince Edward Island,235.0,53.0,6.0
1975,Quebec,28042.0,5688.0,1740.0
1975,Saskatchewan,2837.0,589.0,124.0
1975,Yukon,97.0,48.0,5.0
1976,Alberta,14896.0,3758.0,-222.0
1976,British Columbia,20484.0,3876.0,-320.0
1976,Manitoba,5509.0,1006.0,-104.0
1976,New Brunswick,1752.0,475.0,-18.0
1976,Newfoundland and Labrador,725.0,188.0,-13.0
1976,Northwest Territories including Nunavut,177.0,13.0,-5.0
1976,Nova Scotia,1942.0,257.0,-84.0
1976,Ontario,72031.0,13479.0,-1703.0
